# Operational events correlated with payments-mongo-import.json.
# Format: timestamp|level|service|transactionId|message (one event per transaction)
2025-09-18T08:00:01Z|INFO|payment-rail|TX-000001|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=184
2025-09-18T09:12:14Z|INFO|fraud-check|TX-000002|category=fraud;rail=ACH;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.04
2025-09-18T10:24:27Z|WARN|payment-exception|TX-000003|category=exception;rail=SEPA;event=settlement_delay;status=PENDING;errorCode=SETTLEMENT_TIMEOUT;retryable=true
2025-09-18T11:36:40Z|ERROR|payment-processing|TX-000004|category=failure;rail=FEDWIRE;event=payment_rejected;status=RJCT;errorCode=VAL-001;reason=invalid_account
2025-09-18T12:48:53Z|ERROR|mongo-exception|TX-000005|category=database;rail=SWIFT;event=context_read_failed;errorCode=MONGO-001;operation=find;retryable=true
2025-09-18T14:01:06Z|WARN|compliance-check|TX-000006|category=exception;rail=ACH;event=sanctions_review;status=REVIEW;errorCode=SAN-REVIEW;decision=HOLD
2025-09-18T15:13:19Z|INFO|payment-rail|TX-000007|category=rail;rail=SEPA;event=accepted;status=BOOKED;durationMs=221
2025-09-18T16:25:32Z|ERROR|fraud-check|TX-000008|category=fraud;rail=FEDWIRE;event=payment_blocked;fraudChecks=FAILED;decision=BLOCK;score=0.96;errorCode=FRAUD-001
2025-09-18T17:37:45Z|INFO|payment-processing|TX-000009|category=processing;rail=SWIFT;event=payment_completed;status=BOOKED;durationMs=342
2025-09-18T18:49:58Z|ERROR|ai-network|TX-000010|category=integration;rail=ACH;event=analysis_failed;errorCode=AI-TIMEOUT;retryable=true
2025-09-19T08:02:11Z|WARN|payment-rail|TX-000011|category=rail;rail=SEPA;event=route_degraded;status=PENDING;errorCode=RAIL-002;retryable=true
2025-09-19T09:14:24Z|INFO|fraud-check|TX-000012|category=fraud;rail=FEDWIRE;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.08
2025-09-19T10:26:37Z|ERROR|payment-exception|TX-000013|category=exception;rail=SWIFT;event=duplicate_detected;status=RJCT;errorCode=DUP-001;retryable=false
2025-09-19T11:38:50Z|ERROR|mongo-exception|TX-000014|category=database;rail=ACH;event=write_failed;errorCode=MONGO-002;operation=update;retryable=true
2025-09-19T12:50:03Z|INFO|payment-processing|TX-000015|category=processing;rail=SEPA;event=payment_completed;status=BOOKED;durationMs=296
2025-09-19T14:02:16Z|WARN|compliance-check|TX-000016|category=exception;rail=FEDWIRE;event=kyc_review;status=REVIEW;errorCode=KYC-REVIEW;decision=HOLD
2025-09-19T15:14:29Z|INFO|payment-rail|TX-000017|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=198
2025-09-19T16:26:42Z|ERROR|fraud-check|TX-000018|category=fraud;rail=ACH;event=payment_blocked;fraudChecks=FAILED;decision=BLOCK;score=0.91;errorCode=FRAUD-002
2025-09-19T17:38:55Z|WARN|payment-processing|TX-000019|category=processing;rail=SEPA;event=manual_review;status=PENDING;errorCode=PROC-003
2025-09-19T18:50:08Z|ERROR|ai-network|TX-000020|category=integration;rail=FEDWIRE;event=provider_unavailable;errorCode=AI-503;retryable=true
2025-09-20T08:03:21Z|INFO|payment-rail|TX-000021|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=174
2025-09-20T09:15:34Z|INFO|fraud-check|TX-000022|category=fraud;rail=ACH;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.11
2025-09-20T10:27:47Z|WARN|payment-exception|TX-000023|category=exception;rail=SEPA;event=beneficiary_unavailable;status=PENDING;errorCode=BEN-404
2025-09-20T11:39:00Z|ERROR|mongo-exception|TX-000024|category=database;rail=FEDWIRE;event=connection_pool_exhausted;errorCode=MONGO-003;operation=find
2025-09-20T12:51:13Z|INFO|payment-processing|TX-000025|category=processing;rail=SWIFT;event=payment_completed;status=BOOKED;durationMs=318
2025-09-20T14:03:26Z|WARN|compliance-check|TX-000026|category=exception;rail=ACH;event=watchlist_match;status=REVIEW;errorCode=SAN-002;decision=HOLD
2025-09-20T15:15:39Z|INFO|payment-rail|TX-000027|category=rail;rail=SEPA;event=accepted;status=BOOKED;durationMs=207
2025-09-20T16:27:52Z|ERROR|fraud-check|TX-000028|category=fraud;rail=FEDWIRE;event=velocity_limit;fraudChecks=FAILED;decision=BLOCK;score=0.88;errorCode=FRAUD-003
2025-09-20T17:39:05Z|ERROR|payment-processing|TX-000029|category=failure;rail=SWIFT;event=payment_rejected;status=RJCT;errorCode=VAL-002;reason=invalid_currency
2025-09-20T18:51:18Z|ERROR|ai-network|TX-000030|category=integration;rail=ACH;event=invalid_ai_response;errorCode=AI-JSON-001;retryable=true
2025-09-21T08:04:31Z|INFO|payment-rail|TX-000031|category=rail;rail=SEPA;event=accepted;status=BOOKED;durationMs=189
2025-09-21T09:16:44Z|INFO|fraud-check|TX-000032|category=fraud;rail=FEDWIRE;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.06
2025-09-21T10:28:57Z|WARN|payment-exception|TX-000033|category=exception;rail=SWIFT;event=repair_required;status=REVIEW;errorCode=DATA-003
2025-09-21T11:40:10Z|ERROR|mongo-exception|TX-000034|category=database;rail=ACH;event=query_timeout;errorCode=MONGO-004;operation=aggregate
2025-09-21T12:52:23Z|INFO|payment-processing|TX-000035|category=processing;rail=SEPA;event=payment_completed;status=BOOKED;durationMs=278
2025-09-21T14:04:36Z|WARN|compliance-check|TX-000036|category=exception;rail=FEDWIRE;event=aml_review;status=REVIEW;errorCode=AML-001;decision=HOLD
2025-09-21T15:16:49Z|INFO|payment-rail|TX-000037|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=231
2025-09-21T16:28:02Z|ERROR|fraud-check|TX-000038|category=fraud;rail=ACH;event=device_anomaly;fraudChecks=FAILED;decision=BLOCK;score=0.94;errorCode=FRAUD-004
2025-09-21T17:40:15Z|WARN|payment-processing|TX-000039|category=processing;rail=SEPA;event=queue_backlog;status=PENDING;errorCode=PROC-005
2025-09-21T18:52:28Z|ERROR|ai-network|TX-000040|category=integration;rail=FEDWIRE;event=rate_limited;errorCode=AI-429;retryable=true
2025-09-22T08:05:41Z|INFO|payment-rail|TX-000041|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=192
2025-09-22T09:17:54Z|INFO|fraud-check|TX-000042|category=fraud;rail=ACH;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.09
2025-09-22T10:29:07Z|ERROR|payment-exception|TX-000043|category=exception;rail=SEPA;event=invalid_bic;status=RJCT;errorCode=VAL-004
2025-09-22T11:41:20Z|ERROR|mongo-exception|TX-000044|category=database;rail=FEDWIRE;event=duplicate_key;errorCode=MONGO-005;operation=insert
2025-09-22T12:53:33Z|INFO|payment-processing|TX-000045|category=processing;rail=SWIFT;event=payment_completed;status=BOOKED;durationMs=305
2025-09-22T14:05:46Z|WARN|compliance-check|TX-000046|category=exception;rail=ACH;event=country_restriction;status=REVIEW;errorCode=COMP-002;decision=HOLD
2025-09-22T15:17:59Z|INFO|payment-rail|TX-000047|category=rail;rail=SEPA;event=accepted;status=BOOKED;durationMs=216
2025-09-22T16:30:12Z|ERROR|fraud-check|TX-000048|category=fraud;rail=FEDWIRE;event=identity_mismatch;fraudChecks=FAILED;decision=BLOCK;score=0.89;errorCode=FRAUD-005
2025-09-22T17:42:25Z|ERROR|payment-processing|TX-000049|category=failure;rail=SWIFT;event=payment_rejected;status=RJCT;errorCode=VAL-005
2025-09-22T18:54:38Z|ERROR|ai-network|TX-000050|category=integration;rail=ACH;event=connection_reset;errorCode=AI-NET-002;retryable=true
2025-09-23T08:06:51Z|INFO|payment-rail|TX-000051|category=rail;rail=SEPA;event=accepted;status=BOOKED;durationMs=205
2025-09-23T09:19:04Z|INFO|fraud-check|TX-000052|category=fraud;rail=FEDWIRE;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.07
2025-09-23T10:31:17Z|WARN|payment-exception|TX-000053|category=exception;rail=SWIFT;event=address_normalization;status=REVIEW;errorCode=DATA-006
2025-09-23T11:43:30Z|ERROR|mongo-exception|TX-000054|category=database;rail=ACH;event=network_unavailable;errorCode=MONGO-006;operation=read
2025-09-23T12:55:43Z|INFO|payment-processing|TX-000055|category=processing;rail=SEPA;event=payment_completed;status=BOOKED;durationMs=287
2025-09-23T14:07:56Z|WARN|compliance-check|TX-000056|category=exception;rail=FEDWIRE;event=pep_review;status=REVIEW;errorCode=AML-003;decision=HOLD
2025-09-23T15:20:09Z|INFO|payment-rail|TX-000057|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=183
2025-09-23T16:32:22Z|ERROR|fraud-check|TX-000058|category=fraud;rail=ACH;event=amount_anomaly;fraudChecks=FAILED;decision=BLOCK;score=0.93;errorCode=FRAUD-006
2025-09-23T17:44:35Z|WARN|payment-processing|TX-000059|category=processing;rail=SEPA;event=retry_scheduled;status=PENDING;errorCode=PROC-007
2025-09-23T18:56:48Z|ERROR|ai-network|TX-000060|category=integration;rail=FEDWIRE;event=payload_rejected;errorCode=AI-400
2025-09-24T08:08:01Z|INFO|payment-rail|TX-000061|category=rail;rail=SWIFT;event=accepted;status=BOOKED;durationMs=176
2025-09-24T09:20:14Z|INFO|fraud-check|TX-000062|category=fraud;rail=ACH;event=screened;fraudChecks=PASSED;decision=ALLOW;score=0.05
2025-09-24T10:32:27Z|ERROR|payment-exception|TX-000063|category=exception;rail=SEPA;event=settlement_rejected;status=RJCT;errorCode=SET-003
2025-09-24T11:44:40Z|ERROR|mongo-exception|TX-000064|category=database;rail=FEDWIRE;event=cursor_interrupted;errorCode=MONGO-007;operation=aggregate
